,ot_ref,nt_ref,nt_text
279,"Pr 3:11,12","Heb 12:5,6","And ye have forgotten the exhortation which speaketh unto you as unto children, My son, despise not thou the chastening of the Lord, nor faint when thou art rebuked of him:"
290,Pr 3:34,Jas 4:6,"But he giveth more grace. Wherefore he saith, God resisteth the proud, but giveth grace unto the humble."
299,Pr 10:12,1Pe 4:8,And above all things have fervent charity among yourselves: for charity shall cover the multitude of sins.
56,Pr 20:20,Mr 7:10,"For Moses said, Honour thy father and thy mother; and, Whoso curseth father or mother, let him die the death:"
193,"Pr 25:21,22",Ro 12:20,"Therefore if thine enemy hunger, feed him; if he thirst, give him drink: for in so doing thou shalt heap coals of fire on his head."
300,Pr 26:11,2Pe 2:22,"But it is happened unto them according to the true proverb, The dog is turned to his own vomit again; and the sow that was washed to her wallowing in the mire."
171,Isa 1:9,Ro 9:29,"And as Esaias said before, Except the Lord of Sabaoth had left us a seed, we had been as Sodoma, and been made like unto Gomorrha."
23,"Isa 6:9,10",Mt 13:14,"And in them is fulfilled the prophecy of Esaias, which saith, By hearing ye shall hear, and shall not understand; and seeing ye shall see, and shall not perceive:"
51,Isa 6:9,Mr 4:12,"That seeing they may see, and not perceive; and hearing they may hear, and not understand; lest at any time they should be converted, and their sins should be forgiven them."
83,Isa 6:9,Lu 8:10,"And he said, Unto you it is given to know the mysteries of the kingdom of God: but to others in parables; that seeing they might not see, and hearing they might not understand."
104,Isa 6:9,Joh 12:40,"He hath blinded their eyes, and hardened their heart; that they should not see with their eyes, nor understand with their heart, and be converted, and I should heal them."
141,"Isa 6:9,10","Ac 28:26,27","Saying, Go unto this people, and say, Hearing ye shall hear, and shall not understand; and seeing ye shall see, and not perceive:"
0,Isa 7:14,Mt 1:23,"Behold, a virgin shall be with child, and shall bring forth a son, and they shall call his name Emmanuel, which being interpreted is, God with us."
172,Isa 8:14,Ro 9:33,"As it is written, Behold, I lay in Sion a stumblingstone and rock of offence: and whosoever believeth on him shall not be ashamed."
259,Isa 8:18,Heb 2:13,"And again, I will put my trust in him. And again, Behold I and the children which God hath given me."
10,"Isa 9:1,2","Mt 4:15,16","The land of Zabulon, and the land of Nephthalim, by the way of the sea, beyond Jordan, Galilee of the Gentiles;"
170,"Isa 10:22,23","Ro 9:27,28","Esaias also crieth concerning Israel, Though the number of the children of Israel be as the sand of the sea, a remnant shall be saved:"
